00:00.060 - 00:05.560:  Hello, this is the Global News Podcast from the BBC World Service with reports and analysis
04:13.460 - 04:29.360:  It is Iran's own money frozen as part of sanctions, but to ensure that it is only used for humanitarian reasons, the account will be controlled by the government of Qatar, so that they can only use it to pay for humanitarian purchases such as medicine and food.
04:29.960 - 04:39.060:  And we understand that this will be a difficult process given the amount of money and given all the web of sanctions that could take several weeks before that money is deposited.
04:39.540 - 04:52.240:  And once it is deposited, then you'll see the movement, possibly, if all goes according to plan of those American hostages or prisoners in Iran, and then you will see also freedom for some Iranians in American jails.
04:52.300 - 04:53.820:  So it is complicated, as you can see.
04:55.560 - 05:03.320:  Now, President Biden has declared a major disaster in Hawaii, where wildfires on the island of Maui have killed at least 36 people.
05:03.660 - 05:10.300:  The declaration allows the release of emergency federal support to help recovery efforts in areas affected by wildfires.
05:10.920 - 05:12.340:  Mr. Biden spoke to reporters.
05:12.900 - 05:17.260:  We're working as quickly as possible to fight these fires and evacuate residents and tourists.
05:18.040 - 05:24.780:  In the meantime, our prayers were the people of Hawaii, but not just our prayers. Every asset we have will be available to them.
05:24.780 - 05:31.380:  And we've seen, they've seen their home, the business destroyed, and some of lost loved ones, and it's not over yet.
05:31.820 - 05:37.000:  The President has also ordered the U.S. Coast Guard, Army and Navy to join the relief effort.
05:37.640 - 05:41.520:  2000 residents of Western Maui remain in emergency shelters.
05:41.520 - 05:44.860:  Thousands of visitors have been evacuated from the island.
05:44.860 - 05:49.580:  Helicopters have dropped more than half a million liters of water to try to suppress the fires.
05:50.100 - 05:53.460:  It's thought fallen power cables may have started the blaze.
05:54.140 - 05:57.700:  Reports say the historic town of Lahaina has been mostly destroyed.
05:57.700 - 06:01.500:  Kikoa Landsford lives there. He said help didn't arrive fast enough.
06:02.240 - 06:04.280:  It's going to take years for fix. Years.
06:05.960 - 06:11.840:  This is not even the worst of it. Still get dead bodies in the water, floating, and on the seawall.
06:12.160 - 06:16.180:  They've been sitting there since last night. We've been pulling people out since last night.
06:17.340 - 06:21.040:  Trying to save people's lives. And I feel like we're not getting the help we need.
06:21.640 - 06:27.020:  On Wednesday, we spoke to Malika Dudley, a meteorologist in Maui, who was evacuated from her home.
06:27.540 - 06:30.660:  A day later, we contacted her again to see how she's coping.
06:31.360 - 06:36.700:  I woke up to just harrowing stories from some of my Instagram followers.
06:38.280 - 06:42.900:  I'll tell you one. There is a woman who said that she had seconds.
06:42.900 - 06:52.260:  She had to run for her life, jumped over the seawall into the ocean, and spent seven hours in the ocean waiting to be rescued.
06:52.920 - 07:00.480:  She and her apartment mates were experiencing hypothermic type of issues, medical issues.
07:00.920 - 07:06.860:  And so they would approach things that were on fire in the water to try to stay warm.
07:07.140 - 07:09.840:  Yet then they would experience burn conditions.
07:10.580 - 07:14.440:  So these are the types of stories that we're hearing coming out of that area.
07:14.440 - 07:19.780:  These are the types of people that have been rescued over the last several hours.
07:20.180 - 07:23.860:  This is a national emergency. There are mass casualties.
07:24.700 - 07:31.440:  And, you know, though we had a red flag warning predicting of fires, nobody could have predicted this.
07:32.280 - 07:39.200:  This is a catastrophe. We're so thankful for all of the officials, for the firefighters, our first responders.
07:39.200 - 07:44.220:  We're so thankful for the work that they're doing, you know, with something of this magnitude.
07:44.220 - 07:50.660:  It's difficult to get it right, you know, quote unquote, but I think they're doing their best.
07:50.660 - 07:54.940:  It's just when it's life and death, your best is not good enough.
07:55.660 - 07:56.940:  Malika Dudley in Maui.
07:57.600 - 08:06.460:  Now, the president of Ivory Coast says about 1,000 troops from his country will join an international force that's been put on standby to intervene in Niger.
08:07.040 - 08:14.660:  Alassani Uttaro was speaking after an emergency meeting of the West African regional block, ECOWAS, which has put the troops on alert.
08:14.660 - 08:22.120:  He said the group was determined to restore Niger's elected president, Mohammed Bazoum, who was ousted in a coup last month.
08:22.780 - 08:30.820:  ECOWAS had previously warned those behind the takeover to reinstate Mohammed Bazoum by last Sunday, all risk the potential use of force.
08:31.600 - 08:37.480:  But now they say engaging in dialogue is the priority, as our Africa correspondent Andrew Harding explains.
08:38.760 - 08:42.760:  Niger's neighbors are looking for ways to push the country back to democracy.
08:42.760 - 08:53.520:  After a meeting of regional leaders, it was announced that a relatively small joint military force would be put on alert, most likely to secure Niger's borders at this stage.
08:53.520 - 09:00.460:  At the same meeting, Nigeria's president, Bola Tinubu, said diplomacy needed to be given more of a chance.
09:00.900 - 09:18.420:  Area Feminar Relentless Commitment to Democracy, Human Rights, and the weapon of the people of Niger, it is crucial that we prioritize diplomatic negotiations and dialogue as the bedrock of our approach.
09:18.880 - 09:32.180:  Some will find that reassuring. There's a chance that economic sanctions and political pressure on impoverished landlock Niger will persuade the generals there to agree to a timetable for a return to democracy.
09:33.100 - 09:45.740:  But the coupplotters may equally feel emboldened. They've just named a new cabinet, and they're still holding Niger's legitimate president in custody with growing international concern about his safety.
09:45.740 - 09:56.740:  There are certainly good reasons for concern, even alarm. In recent years, coups and conflicts have spread right across a sway of Africa just below the Sahara desert.
09:56.740 - 10:09.720:  From Mali to Sudan and now Niger, instability is growing. Democracy is in retreat. Russian mercenaries and Islamist militants are gaining influence, and millions of civilians are struggling.
10:09.720 - 10:22.440:  Andrew Harding reporting. Next, here in the UK, members of militant groups in Northern Ireland say they've acquired private details of police officers, including some who work with the British Security Service, MI5.
10:22.500 - 10:31.360:  The information was accidentally placed online this week, as a result of what the police service in Northern Ireland, or the PSNI, says was human error.
10:32.100 - 10:41.980:  Peace Accords signed in 1998, largely brought an end to decades of sectarian violence in the region, but some groups there have never accepted the peace process.
10:42.600 - 10:53.160:  They claim to have accessed private information hasn't been verified, but the head of Northern Ireland's police, the Chief Constable Simon Bern, says they're providing advice to those potentially at risk.
10:53.160 - 10:57.540:  He added he won't be resigning. From Belfast, Charlotte Gallagher has more.
10:57.920 - 11:05.540:  This has been a disastrous few days for the police service of Northern Ireland, with morale among officers at rock bottom.
11:05.540 - 11:13.020:  All of their names were accidentally published online when the force was responding to a freedom of information request.
11:13.720 - 11:25.420:  During details of a second data breach emerged just 24 hours later. A police laptop, radio and another list of names were stolen from a car in July.
11:25.500 - 11:36.380:  An emergency policing board meeting was called so senior politicians could question the Chief Constable. Simon Bern cut short his holiday to return to Belfast to deal with the crisis.
11:36.500 - 11:42.920:  Admitting the data breach was on an industrial scale. Mr Bern said he was deeply sorry.
11:42.920 - 11:52.800:  But played down fears the list of 10,000 names, including those working with MI5 here, was in the hands of dissident Republicans.
11:53.640 - 12:01.280:  We are now aware that dissident Republicans claim to be in possession of some of this information circulating on WhatsApp.
12:01.960 - 12:08.480:  And as we speak, we are advising officers and staff about how to do with that and any further risk that they face.
12:08.480 - 12:17.780:  We haven't yet been able to verify what the substances behind that claim or see any of the information that dissident Republicans assert that they have.
12:18.260 - 12:21.640:  It's that suggestion that has been most worrying to officers.
12:22.160 - 12:27.580:  dissident Republicans were behind the attempted murder of a well-known detective in Oma in February.
12:28.320 - 12:34.840:  The security situation in Northern Ireland means some officers don't even tell family and friends what they do for work.
12:35.680 - 12:40.200:  No staff have been rehoused yet and it's not known if any are asking to be moved.
12:40.200 - 12:48.480:  The immediate concerns for the PSNI are the safety of officers and ensuring a data breach like this can never happen again.
12:49.260 - 12:52.480:  But the financial implications of this error may be huge.
12:52.480 - 13:00.440:  Lawyers are already making it known that they will represent officers and other employees who have had their identities revealed.
13:00.500 - 13:08.940:  With more than 10,000 people affected, the potential compensation bill could run to tens of millions of pounds.
13:09.620 - 13:10.980:  Charlotte Gallagher in Belfast.
13:11.060 - 13:18.140:  Now let's go to Ukraine where a temporary humanitarian corridor is reportedly going to open in the Black Sea on Friday,
13:18.620 - 13:22.340:  so that stranded ships carrying grain and other products can get out.
13:22.840 - 13:28.480:  The Ukrainian Navy announced the move, although it admitted there's still a threat from sea mines and the Russian Navy.
13:29.180 - 13:32.440:  Moscow has not confirmed whether it has agreed to the plan.
13:32.980 - 13:39.560:  Our Kiev correspondent James Waterhouse said international shipping companies and crucially insurers are yet to be convinced.
13:40.160 - 13:44.800:  I'm going to stick my neck out here Robyn and say no, it is not going to happen.
13:44.800 - 13:52.480:  I'm struggling to see an armada of Ukrainian vessels making their way out into the Black Sea.
13:52.780 - 14:03.700:  The waters that are still dominated by the Russian Navy, which seems to have resumed its blockade of the Ukrainian ports that it doesn't occupy.
14:03.700 - 14:13.940:  Not just that, since it's withdrawal from a landmark agreement which allowed Ukraine to export grain, it has pummeled those ports with relentless missile strikes.
14:14.540 - 14:20.980:  So I still don't know what the tactic here is from Kiev, where we have Ukraine's Navy announcing this humanitarian corridor.
14:20.980 - 14:31.700:  They say it's for commercial vessels, so passenger ships, as well as cargo vessels, to make their way out that have been trapped there since February last year with the full scale invasion.
14:31.700 - 14:42.020:  They even go as far to say that cameras would be installed on these vessels that would live stream content proving that it's a humanitarian endeavor and not military focused.
14:42.020 - 14:52.740:  But we don't know whether they're going to be escorted and what's crucially missing from all of these proposals are any kind of acknowledgement or confirmation from Russia's end.
14:52.800 - 14:57.260:  And I think until you have that, I think these are just words at this moment in time.
14:57.260 - 15:04.060:  Even if there was some kind of reassurance from Moscow and it was practically able to happen, what about the insurers?
15:04.200 - 15:07.060:  I mean, crucially in the shipping industry, what would their view be on it?
15:07.140 - 15:13.640:  Well, it's interesting. It reminds me of, I was in a desert in July last year when this grain deal was getting hashed together.
15:14.160 - 15:26.880:  And even with the political declarations from Russia and Ukraine with the UN and Turkey being the main brokers here, even with those declarations, what the process lacked was confidence.
15:27.020 - 15:37.580:  What it was waiting for were insurers for those major shipping companies to watch the first few voyages go out for them to see that ships weren't being targeted and it gained momentum.
15:37.960 - 15:45.060:  And frankly, it works. You know, Ukraine is able to export two thirds of what it could do before the full scale invasion.
15:45.800 - 15:53.340:  But what's lacking here is that confidence once more because would you fancy getting on a vessel and traveling out into mine infested waters?
15:53.640 - 16:00.800:  Crucially, it's in the detail of what Ukraine is proposing. It's saying there is still a threat posed by sea mines as well as Russia itself.
16:00.940 - 16:09.920:  I think that is the giveaway here. I think this is Ukraine either trying to highlight Russia's continued blockade or at least trying to pressure Moscow into trying to restore the grain deal.
16:10.300 - 16:13.120:  But as we've seen in the past, that hasn't brought much success.
16:13.660 - 16:22.120:  James Waterhouse in Kiev. Let's go to something a little lighter now. Virgin Galactic has completed its first space tourism flight from a site in the United States.
16:22.880 - 16:27.940:  For the first time, a mom and her daughter, Keisha Shahaf and Anna Mayers, headed to the edge of space.
16:27.940 - 16:33.400:  They won their ticket in a sweepstake. Also on board with them was 80-year-old John Goodwin.
16:33.400 - 16:43.480:  He bought his ticket for $250,000 back in 2005. He had feared that a later diagnosis of Parkinson's disease might have stopped him.
16:44.080 - 16:48.000:  Our correspondent, Sophie Long, sent this report from the deserts in New Mexico.
16:48.660 - 17:01.160:  As the passengers of Galactic 2 made their way out of the hangar, they were greeted with huge cheers from the friends and family who had gathered at Spaceport America to wish them well on their journey.
17:01.840 - 17:07.620:  This day has been a long time coming for 80-year-old John Goodwin, who bought his ticket nearly 20 years ago.
17:07.620 - 17:13.740:  His wife, Pauline, said she never doubted it would come, even after he was diagnosed with Parkinson's.
17:14.140 - 17:18.920:  When you say that he's on his way, it makes me emotional again, but I keep going in ways, actually.
17:19.300 - 17:22.420:  But it's been an incredibly emotional week with all the activities.
17:23.820 - 17:30.220:  But I'm feeling absolutely fine. I'm very happy that he's doing it. It's something that he's wanted to do from the word go.
17:30.540 - 17:36.700:  Carried by the Virgin mothership Eve, the spaceship unity lifted off in perfect conditions from the New Mexico desert.
17:36.700 - 17:49.080:  As the craft reached apogee its highest point, crowds on the ground, watched on a big screen and cheered as the crew experienced zero gravity and views of earth that only a select few have ever seen.
17:49.800 - 17:58.200:  Others watched at parties and antiga, with the billionaire founder of Virgin Galactic Sir Richard Branson, and in John Goodwin's hometown of Newcastle underline.
17:58.480 - 18:05.740:  He's a main part of Parkinson's. He comes in, talks to everybody. He never sits on his own.
18:06.080 - 18:14.420:  Anything that he puts his mind to, he does. I had a hug and a kiss off him before he went. I was really pleased with that.
18:15.200 - 18:18.600:  As the spaceship unity touched down, there was jubilation and relief.
18:18.600 - 18:23.920:  The flight was a major milestone for space tourism, at least for those who can afford it.
18:24.280 - 18:31.240:  Tickets are currently selling for more than £350,000, and there's a queue of around 800 people who already have them.
18:31.720 - 18:36.720:  Well, once she was safely back on earth, 18-year-old Anna Mayers said it was an unbelievable experience.
18:37.400 - 18:44.740:  I was shocked at the things that you feel. You are so much more connected to everything than you would expect to be.
18:45.240 - 18:55.340:  You felt like a part of the team, a part of the ship, a part of the universe, a part of earth. It was incredible, and I'm still starting.
18:56.600 - 18:59.040:  Anna Mayers, the new astronaut, Anna Mayers.
19:02.500 - 19:03.020:  Still to come.
19:03.520 - 19:11.140:  Humans are very bad at even repairing cartilage, but lizards spontaneously regrow large amounts of cartilage when they regrow their tails.
19:11.440 - 19:17.060:  So does that mean lizards could help scientists find a treatment for osteoarthritis, which is currently incurable?
19:23.760 - 19:28.400:  World Football at the Women's World Cup is the podcast, telling the global story of the tournament.
19:31.620 - 19:37.320:  We're speaking to the fans who have traveled down undead as they share all the excitement of this incredible competition.
19:37.320 - 19:42.480:  I think we're still in the running, they go all the way. I'm really, really proud of Vietnam music.
19:42.480 - 19:45.500:  This is probably the biggest moment in their careers and Australians right behind them.
19:45.920 - 19:52.620:  World Football at the Women's World Cup from the BBC World Service. Find it wherever you get your BBC podcasts.
19:53.720 - 19:57.480:  Welcome back to the Global News Podcast. Let's go to Ecuador in Latin America.
19:58.140 - 20:07.900:  And security has been reinforced outside a detention facility in the country's capital Keto, where six people suspected of killing a presidential candidate are being held.
20:08.400 - 20:12.920:  Fernando Villvedecenio was shot in their head at the end of a rally on Wednesday evening.
20:13.480 - 20:15.900:  One of the gummen was killed in a shootout that followed.
20:16.380 - 20:21.360:  It's believed that a local gang linked to a Mexican drug cartel carried out the attack.
20:22.020 - 20:27.060:  And as our South America correspondent Katie Watson reports, a state of emergency is now in place.
20:28.140 - 20:38.260:  Videos on social media show Fernando Villvedecenio leaving a campaign event surrounded by personal security and walking towards a pickup truck.
20:42.280 - 20:47.320:  When the shooting starts, the person filming clearly drops down behind the vehicle to protect themselves.
20:49.620 - 20:52.540:  The killing comes less than two weeks before the presidential elections.
20:53.180 - 20:57.860:  Mr Villvedecenio's popularity was rising and recent polls put him in second place.
20:58.780 - 21:04.520:  The current president Guillermo Lassa has declared a state of emergency that said the elections wouldn't be called off.
21:08.040 - 21:12.940:  Faced with the loss of a Democrat and a fighter, the elections aren't suspended.
21:12.940 - 21:17.280:  On the contrary, they have to be held and democracy has to be strengthened.
21:17.760 - 21:26.460:  This is a political crime that has a terrorist character and we don't doubt that this assassination is an attempt to sabotage the electoral process.
21:27.320 - 21:36.000:  Mr Villvedecenio has been very outspoken about crime and corruption and was one of the few candidates to alleged links between the government and organised crime in Ecuador.
21:36.640 - 21:40.360:  This attack though is clear evidence of just how much power the gangs have.
21:41.300 - 21:49.040:  The group which claims to have carried out the murder, lost laurels or the wolves, is the second biggest in the country with as many as 8,000 members.
21:49.040 - 21:53.560:  It's also been involved in deadly prison fights that have left many inmates dead.
21:54.220 - 21:56.520:  South America correspondent Katie Watson reporting.
21:57.240 - 22:04.260:  There's been an explosive outbreak of the MPOX virus in China with infection numbers jumping almost fivefold in just a month.
22:04.840 - 22:08.700:  Almost 500 cases were diagnosed in July. Will Leonardo has more?
22:09.500 - 22:14.480:  A year after MPOX tore through gay communities in the West, the disease is now surging in China.
22:15.040 - 22:18.340:  Health officials say 80% of the new infections can't be traced.
22:18.700 - 22:22.040:  Cases have centred in the southern Guangdong region and the capital Beijing.
22:22.660 - 22:28.560:  MPOX renamed for monkeypox causes a fever and rash and has largely spread among gay men through sexual contact.
22:29.200 - 22:32.260:  No one has yet died in this outbreak but officials are concerned.
22:32.500 - 22:37.180:  They say they'll counter the disease with information campaigns, although there are doubts this will be enough.
22:37.700 - 22:43.820:  West transmission has been contained through coordinated public health action, including gay men coming forward for vaccinations.
22:44.600 - 22:47.140:  We're going to France next where it's harvest season.
22:47.700 - 22:55.260:  In Europe's biggest farming country, fields of asparagus, lettuce and radishes have been left to rot though because of a shortage of people to pick them.
22:55.660 - 22:59.140:  This report from John Lawrenceson starts on a farm southeast of Paris.
23:02.180 - 23:06.120:  A woman armed with pruning shears in a jungle of tomato vines,
23:06.560 - 23:11.860:  snips off bunches of ripe red fruit and tosses them into a sack as the radio plays in the background.
23:12.480 - 23:15.960:  We're at one of the greenhouses of Lissava de Chey,
23:16.000 - 23:21.360:  a large tomato cucumber and strawberry farm near Fontainebleau, southeast of Paris.
23:22.100 - 23:29.780:  Farmer Banje de Marseille de Vos says it has become more and more difficult to hire and retain workers over the past 20 years.
23:30.380 - 23:35.200:  Now, each season begins with the fear they won't have enough hands to get the harvest in.
23:38.880 - 23:43.820:  We have had to abandon some of our production because we can't harvest quickly enough due to lack of workers.
23:44.320 - 23:49.560:  The worst is when there is an odd spell and big volumes of strawberries need to be harvested at the same time.
23:49.880 - 23:52.860:  Then it's a catastrophe. Foot wanting the fields.
23:53.560 - 23:57.860:  We're thinking of planting less in the future because harvesting in all has become sort and certain.
23:58.360 - 23:59.260:  Pardon, pardon, pardon, pardon.
24:00.300 - 24:03.240:  My name is Lydia. I'm Portugaine.
24:03.700 - 24:06.920:  She's the worker Lydia Pereira,
24:06.920 - 24:15.000:  has been coming from Portugal every year since 2015 to pick tomatoes at another farm called Tom Daki near Bordeaux.
24:15.520 - 24:18.000:  She works long seasons, March to October.
24:18.480 - 24:24.340:  She likes this work, she says, but she only picks cherry tomatoes. She says she's too short to pick the big ones.
24:24.500 - 24:34.740:  Farmer Banje de Marseille de Vos says this sort of work is much less grueling than it used to be thanks to technical innovations.
24:34.740 - 24:37.800:  But still, few French people are willing to do it.
24:40.940 - 24:45.640:  People think it's too tough. They are just not as hardworking as they used to be.
24:45.860 - 24:51.740:  And there is not enough difference between what they earn when they work and the endouts they get when they don't.
24:51.820 - 24:53.480:  So people prefer to stay at home.
24:55.900 - 24:58.520:  You want to work in agriculture for the next season?
24:59.500 - 25:06.360:  She's no worker recruitment film aimed at the French, posted by farmers on social media.
25:06.800 - 25:07.480:  Very soon.
25:09.100 - 25:11.740:  The farmers are also casting their net wider.
25:12.380 - 25:20.660:  Céline Comgran-Villa is a vegetable grower in charge of employment issues at the vegetables of France, growers association.
25:21.080 - 25:22.700:  C'est de plus en plus compliqué.
25:23.580 - 25:28.100:  It's much more difficult to find workers from other EU countries as well.
25:28.380 - 25:32.320:  We used to have a lot of Armenians, a lot of Bulgarians, but not anymore.
25:32.960 - 25:34.500:  So we're looking further afield.
25:34.980 - 25:39.200:  For example, we're setting up a partnership with the French immigration office in Morocco.
25:39.740 - 25:49.240:  In order to offer our member seasonal workers from our own ports of Morocco, we've come in work in France for up to six months before returning home to their country.
25:51.760 - 25:55.280:  And there are others from even further away, but who are already here.
25:55.720 - 26:02.940:  Corrine de Luc is in charge of human resources at Tondaki, the cooperative which employs Lydia Pereira.
26:03.100 - 26:05.560:  We're working with an association in terms of culture.
26:05.960 - 26:12.020:  We work with the association that enables political residues to integrate through seasonal jobs.
26:12.800 - 26:14.820:  We work with Afghans in particular.
26:15.420 - 26:24.120:  We have 12 Afghans working here at the moment, along with workers of other nationalities, Ukrainian, from Latin America as well.
26:24.780 - 26:28.260:  Most of them are from rural areas and are used to hard work.
26:28.320 - 26:30.100:  We're familiar with the bosses.
26:30.820 - 26:39.900:  Back at his farm in the Man Valley, I ask farmer Siminal De Vasse what he thinks of migrant labor as a solution to France's seasonal workers shortage.
26:40.540 - 26:49.160:  After a while, they'll just turn into the French, he says, and prefer to do something easier or live off benefits in some the wrong sort of integration.
26:49.280 - 26:53.340:  In the meantime though, the Afghans are helping get the harvest in.
26:54.400 - 26:56.520:  John Lonson reporting from France.
26:57.260 - 27:04.120:  Scientists from the University of Southern California have identified key cells involved in cartilage regeneration in lizards.
27:04.700 - 27:06.980:  So you might ask why that's important.
27:06.980 - 27:13.520:  Well, the discovery could offer insights into the treatment of osteoarthritis, which is currently incurable.
27:14.180 - 27:19.840:  Gary O'Donohue spoke to the author of the study Thomas Lozito and asked him how they identified these cells.
27:20.820 - 27:27.380:  We use a technique called single cell sequencing that allows us to break down a complex process into individual cells.
27:27.600 - 27:33.860:  And we were able to identify both the cells that were turning into the cartilage and then the cells that were regulating that differentiation.
27:34.460 - 27:39.160:  And so is there kind of similarity between these cells and what goes on in the human body?
27:39.520 - 27:42.000:  Yes, all of these cells are found in the human body.
27:42.140 - 27:47.060:  The cells that become the cartilage are called fibroblasts and they're one of the most common cell types found in any organism.
27:47.800 - 27:53.340:  And then the cells doing the cartilage regulation are called septiclasts. These are a special immune cells.
27:53.500 - 28:01.660:  So humans have immune cells just like these lizards, but lizards are able to tweak them in a way that favors cartilage regeneration over scar formation.
28:02.200 - 28:06.200:  So just to be clear, humans can't grow their own cartilage, but lizards can, is that right?
28:06.480 - 28:14.560:  Correct. Humans are very bad at even repairing cartilage, but lizards spontaneously regrow large amounts of cartilage when they regrow their tails.
28:14.560 - 28:20.340:  So they are a very applicable model when you're trying to study cartilage formation and regeneration.
28:21.100 - 28:23.640:  And what's the possibility of doing this to scale?
28:24.000 - 28:28.720:  The interesting thing about this is that basically lizards are able to spin straw into gold.
28:28.720 - 28:32.420:  They're able to take those common fibroblasts and turn them into cartilage.
28:33.000 - 28:42.100:  If we can do something similar in humans, that would be a source of regenerated cartilage that can be formed pretty much in any joint or skeletal source in the human body.
28:42.340 - 28:45.020:  You say the important word there if, how big is that if?
28:45.340 - 28:53.120:  So right now we're looking at how exactly the lizards are remodeling their DNA, something that we know that happens during this cartilage differentiation process.
28:53.500 - 28:58.300:  If we're able to tack down those DNA changes, we should be able to recreate them in human cells.
28:58.660 - 29:01.940:  And what sort of timescale would you be looking out for that sort of research?
29:02.460 - 29:11.260:  One of the interesting things about this study is that we applied what we learned and formed new cartilage in a lizard limb, a situation that doesn't normally form cartilage at all.
29:11.840 - 29:20.380:  So the next step here would be transferring process into something like a mouse and then be on our way to trying it in other mammals such as humans.
29:21.020 - 29:24.260:  Thomas Luzita from the University of Southern California.
29:24.820 - 29:28.140:  Now we heard earlier about Virgin Galactic Space Tourist mission.
29:28.140 - 29:34.420:  But as we record this podcast, a launch has taken place of Luna 25, a far more ambitious spaceflight.
29:34.740 - 29:38.180:  Russia is going to the moon for the first time in nearly half a century.
29:38.780 - 29:44.280:  And it's hoping to land on the South Pole before an Indian craft also on the way gets there first.
29:44.800 - 29:47.480:  Our Europe Regional Editor Paul Moss told me more.
29:48.480 - 29:52.420:  It's often forgotten that Russia once had its own moon exploration program.
29:52.420 - 29:58.900:  In fact, the first human object to land on the moon was a Russian probe which crashed into the surface in 1959.
29:58.900 - 30:03.260:  That's 10 years before Neil Armstrong's at his famous one giant step.
30:03.760 - 30:07.780:  Now Russia carried on sending missions there right through to the 1970s.
30:08.100 - 30:11.800:  In fact, they sent space ships there which then came back to Earth with samples.
30:11.800 - 30:16.680:  But that all stopped in 1976 and they haven't been back until now.
30:16.820 - 30:22.300:  They're going to send a rocket up from the Vostoshnikost Cosmodrome in Russia's Far East.
30:22.360 - 30:25.720:  And the aim is to reach the moon's South Pole.
30:26.400 - 30:30.340:  And unlike that probe, I mentioned which crashed into the lunar surface this one.
30:30.340 - 30:33.720:  They want to land softly so it can do some experiments.
30:34.400 - 30:36.700:  Why the South Pole? Well, a very simple reason.
30:37.340 - 30:41.240:  Scientists think that the South Pole of the moon probably has water there.
30:41.420 - 30:46.000:  And if they were ever going to build a permanent lunar base, that water would be useful.
30:46.000 - 30:50.820:  Perhaps essential. So that's what this Russian spacecraft is supposed to be looking for.
30:51.140 - 30:56.720:  Okay, so we know where they want to go, what they want to do. But why now? Why in 2023?
30:57.120 - 31:00.180:  An awful sense of deja vu here back in the Cold War days.
31:00.520 - 31:07.060:  Competition between the old Soviet Union and the US was fought down on Earth with sort of saber-attling and proxy wars.
31:07.060 - 31:11.840:  But it was also famously fought up in their heavens with the so-called space race.
31:12.540 - 31:18.420:  And then for a long time there was cooperation in space with the United States and Russia working together on,
31:18.420 - 31:22.020:  for example, the international space station along with other nationalities.
31:22.020 - 31:27.320:  Then that all began to fall apart when Russia occupied Crimea and eastern Ukraine.
31:27.320 - 31:32.480:  And then it fell apart completely when Russian troops invaded Ukraine last year.
31:33.140 - 31:36.260:  And you know, pretty awfully when we hear about Russian rockets these days,
31:36.260 - 31:39.440:  it's usually the military kind that are being fired at cities.
31:40.080 - 31:43.520:  So here we are again with Moscow once again at odds with the West.
31:44.060 - 31:47.880:  And once again, the man in the Kremlin wants to show who's top dog.
31:48.560 - 31:52.200:  And Russia is launching this attempt to be the first at something in space in this case,
